text	annotator1	annotator2	annotator3	annotator4	annotator5	annotator6	annotator7	annotator8	annotator9
This movie is ok.	Neutral	Positive	Neutral	Neutral	Positive	Neutral	Neutral	Positive	Neutral
Absolutely loved it!	Very Positive	Positive	Very Positive	Very Positive	Positive	Very Positive	Very Positive	Positive	Very Positive
Horrible experience.	Very Negative	Negative	Very Negative	Negative	Negative	Very Negative	Very Negative	Negative	Very Negative
Not bad, could be better.	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral
Amazing storytelling!	Very Positive	Very Positive	Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive	Positive
The worst acting I have ever seen.	Very Negative	Negative	Negative	Very Negative	Negative	Very Negative	Very Negative	Negative	Very Negative
It was an average performance.	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral
One of the best films this year!	Very Positive	Very Positive	Very Positive	Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive
Terrible plot and bad execution.	Very Negative	Negative	Negative	Very Negative	Very Negative	Very Negative	Very Negative	Negative	Very Negative
Decent watch, but nothing special.	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral
Loved every second of it!	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive
A huge disappointment.	Very Negative	Negative	Negative	Very Negative	Negative	Very Negative	Very Negative	Negative	Very Negative
Surprisingly good!	Positive	Positive	Neutral	Positive	Positive	Positive	Positive	Positive	Neutral
Extremely boring and slow-paced.	Very Negative	Negative	Negative	Very Negative	Negative	Very Negative	Very Negative	Negative	Very Negative
Would definitely recommend!	Very Positive	Very Positive	Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive	Positive
Not worth the hype.	Negative	Neutral	Negative	Negative	Neutral	Negative	Negative	Neutral	Negative
An emotional rollercoaster!	Very Positive	Very Positive	Very Positive	Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive
Painfully predictable.	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative
Outstanding cinematography!	Very Positive	Positive	Very Positive	Very Positive	Very Positive	Very Positive	Very Positive	Positive	Very Positive
