text	annotator1	annotator2	annotator3	annotator4	annotator5	annotator6	annotator7	annotator8	annotator9	annotator10
Nice day.	0	0	0	0	0	0	0	0	0	0
You idiot!	2	3	2	3	2	3	3	2	3	2
What the hell!	1	2	1	2	1	2	2	1	2	1
Perfect day.	0	0	0	0	0	0	0	0	0	0
Shut up, you jerk!	4	5	4	5	4	5	5	4	5	4
Absolutely wonderful!	0	0	0	0	0	0	0	0	0	0
Terrible experience!	3	4	3	4	3	4	4	3	4	3
I love this!	0	0	0	0	0	0	0	0	0	0
Disgusting behavior!	4	5	4	5	4	5	5	4	5	4
Fantastic!	0	0	0	0	0	0	0	0	0	0
That was so rude.	3	4	3	4	3	4	4	3	4	3
Awful!	4	5	4	5	4	5	5	4	5	4
Such a great time.	0	0	0	0	0	0	0	0	0	0
You're the worst!	3	4	3	4	3	4	4	3	4	3
Unbelievably bad!	4	5	4	5	4	5	5	4	5	4
