text,annotator1,annotator2,annotator3,annotator4,annotator5
"I love this product!","Excellent","Excellent","Very Good","Excellent","Excellent"
"This is the worst experience ever.","Poor","Poor","Poor","Poor","Fair"
"It's okay, not great but not terrible.","Good","Good","Good","Good","Fair"
"I am extremely happy with my purchase.","Excellent","Very Good","Excellent","Very Good","Excellent"
"The service was terrible.","Poor","Fair","Poor","Poor","Poor"
"I'm somewhat satisfied.","Good","Good","Fair","Good","Good"
"Nothing special, just an average experience.","Fair","Fair","Fair","Fair","Good"
"Absolutely horrible! Never again.","Poor","Poor","Poor","Poor","Poor"
"It's pretty decent, I might buy it again.","Very Good","Very Good","Good","Very Good","Very Good"
"I hate it so much!","Poor","Poor","Poor","Fair","Poor"
"This is the best thing ever!","Excellent","Excellent","Excellent","Excellent","Excellent"
